iter	Passed	Remaining
0	93	93074
1	99	49833
2	106	35392
3	112	28069
4	118	23543
5	123	20506
6	129	18342
7	133	16580
8	139	15330
9	143	14221
10	147	13294
11	153	12630
12	158	12013
13	162	11448
14	168	11054
15	172	10601
16	176	10210
17	181	9921
18	188	9713
19	192	9417
20	197	9223
21	202	9021
22	207	8822
23	213	8692
24	219	8547
25	229	8583
26	238	8585
27	246	8551
28	250	8395
29	255	8253
30	261	8179
31	266	8069
32	270	7930
33	275	7815
34	278	7690
35	282	7556
36	286	7450
37	293	7430
38	296	7307
39	299	7188
40	302	7068
41	305	6977
42	308	6864
43	310	6756
44	313	6650
45	316	6553
46	319	6487
47	323	6409
48	325	6322
49	328	6234
50	330	6156
51	335	6110
52	337	6032
53	340	5956
54	342	5887
55	345	5819
56	348	5770
57	352	5724
58	355	5662
59	357	5601
60	360	5551
61	364	5516
62	369	5490
63	372	5452
64	376	5413
65	382	5408
66	385	5371
67	388	5326
68	391	5278
69	394	5241
70	398	5219
71	401	5178
72	405	5145
73	407	5103
74	411	5074
75	415	5055
76	418	5021
77	421	4982
78	424	4943
79	427	4919
80	431	4893
81	433	4856
82	436	4820
83	438	4785
84	441	4756
85	445	4739
86	448	4704
87	450	4672
88	453	4639
89	456	4610
90	460	4595
91	463	4570
92	465	4540
93	467	4509
94	470	4481
95	473	4463
96	477	4447
97	480	4424
98	483	4399
99	485	4373
100	489	4352
101	492	4338
102	495	4313
103	497	4290
104	500	4267
105	503	4242
106	506	4225
107	510	4214
108	513	4196
109	516	4175
110	518	4156
111	522	4145
112	526	4129
113	528	4108
114	531	4087
115	534	4069
116	538	4061
117	540	4043
118	543	4022
119	546	4005
120	548	3985
121	551	3972
122	555	3960
123	557	3940
124	560	3922
125	562	3903
126	565	3888
127	569	3881
128	572	3865
129	575	3848
130	577	3833
131	581	3824
132	585	3816
133	588	3804
134	591	3791
135	594	3774
136	597	3764
137	602	3761
138	605	3748
139	608	3737
140	611	3723
141	615	3716
142	619	3712
143	622	3699
144	624	3682
145	626	3667
146	630	3657
147	634	3651
148	636	3637
149	639	3624
150	641	3609
151	645	3599
152	649	3596
153	652	3583
154	654	3570
155	657	3556
156	660	3544
157	663	3538
158	666	3524
159	668	3510
160	671	3497
161	673	3483
162	676	3473
163	679	3465
164	682	3452
165	684	3441
166	687	3428
167	689	3415
168	693	3409
169	696	3401
170	699	3389
171	701	3378
172	704	3366
173	706	3356
174	711	3351
175	714	3342
176	716	3330
177	718	3318
178	721	3307
179	725	3303
180	728	3297
181	731	3285
182	733	3274
183	735	3263
184	739	3257
185	743	3253
186	745	3242
187	749	3235
188	752	3226
189	755	3220
190	759	3214
191	761	3204
192	763	3194
193	766	3184
194	769	3174
195	772	3169
196	776	3165
197	779	3156
198	781	3146
199	784	3137
200	788	3133
201	791	3125
202	793	3116
203	796	3109
204	799	3100
205	803	3096
206	807	3093
207	810	3084
208	812	3075
209	814	3065
210	818	3061
211	822	3057
212	824	3048
213	827	3040
214	830	3030
215	833	3024
216	837	3021
217	839	3012
218	842	3003
219	844	2994
220	847	2985
221	850	2981
222	854	2976
223	857	2969
224	859	2960
225	861	2952
226	865	2945
227	868	2941
228	871	2932
229	873	2925
230	876	2917
231	879	2910
232	883	2907
233	885	2899
234	888	2892
235	891	2884
236	893	2877
237	897	2873
238	900	2867
239	903	2860
240	905	2852
241	908	2844
242	911	2839
243	915	2837
244	918	2830
245	920	2822
246	923	2815
247	926	2808
248	930	2807
249	933	2800
250	936	2793
251	938	2785
252	940	2777
253	944	2774
254	948	2771
255	951	2764
256	953	2757
257	956	2750
258	960	2748
259	963	2743
260	966	2736
261	969	2731
262	973	2728
263	976	2723
264	980	2718
265	982	2711
266	985	2704
267	987	2696
268	991	2694
269	995	2691
270	998	2685
271	1000	2678
272	1003	2671
273	1007	2669
274	1011	2667
275	1014	2660
276	1016	2653
277	1019	2646
278	1023	2644
279	1026	2639
280	1028	2632
281	1031	2625
282	1033	2618
283	1036	2612
284	1040	2611
285	1043	2604
286	1045	2597
287	1048	2591
288	1050	2584
289	1054	2580
290	1057	2577
291	1060	2570
292	1062	2564
293	1065	2557
294	1068	2553
295	1072	2550
296	1075	2545
297	1077	2538
298	1080	2532
299	1082	2525
300	1086	2522
301	1089	2518
302	1092	2512
303	1094	2506
304	1097	2500
305	1100	2496
306	1104	2494
307	1107	2488
308	1110	2482
309	1112	2477
310	1116	2474
311	1120	2471
312	1123	2465
313	1125	2459
314	1128	2453
315	1131	2448
316	1135	2445
317	1137	2439
318	1140	2434
319	1142	2428
320	1145	2422
321	1149	2419
322	1152	2414
323	1154	2408
324	1157	2403
325	1159	2397
326	1163	2394
327	1167	2392
328	1170	2386
329	1172	2381
330	1175	2375
331	1178	2371
332	1182	2368
333	1185	2363
334	1188	2358
335	1191	2353
336	1194	2350
337	1198	2348
338	1201	2342
339	1203	2336
340	1206	2330
341	1209	2327
342	1213	2323
343	1215	2318
344	1218	2312
345	1220	2307
346	1223	2302
347	1227	2300
348	1230	2295
349	1233	2290
350	1235	2284
351	1238	2279
352	1241	2276
353	1245	2273
354	1248	2268
355	1251	2264
356	1255	2260
357	1259	2258
358	1262	2253
359	1264	2248
360	1267	2243
361	1270	2239
362	1274	2236
363	1277	2231
364	1280	2227
365	1282	2221
366	1285	2216
367	1288	2213
368	1292	2209
369	1294	2204
370	1297	2199
371	1299	2193
372	1302	2190
373	1306	2187
374	1309	2182
375	1312	2177
376	1314	2172
377	1317	2168
378	1321	2165
379	1324	2160
380	1326	2155
381	1329	2150
382	1331	2145
383	1335	2142
384	1338	2138
385	1341	2133
386	1343	2128
387	1346	2123
388	1349	2119
389	1363	2133
390	1370	2134
391	1374	2131
392	1377	2128
393	1384	2128
394	1388	2127
395	1393	2125
396	1397	2122
397	1402	2120
398	1405	2117
399	1408	2112
400	1412	2109
401	1415	2106
402	1418	2101
403	1421	2096
404	1423	2091
405	1426	2086
406	1429	2083
407	1433	2079
408	1435	2074
409	1438	2070
410	1441	2065
411	1444	2062
412	1448	2058
413	1450	2053
414	1453	2048
415	1455	2043
416	1458	2039
417	1463	2037
418	1465	2032
